rrc_lease_id,abstract_label
17347,A-27
19817,A-137
20255,A-517
21403,A-4
12856,A-423
21359,A-358
19463,A-11
18346,A-112
293934,A-321
16082,A-474
20881,A-144
19384,A-155
11843,A-26
293620,A-247
19479,A-11
11685,A-280
15688,A-4
296357,A-199
17424,A-30
20325,A-261
19074,A-318
21595,A-45
12568,A-216
17244,A-416
16796,A-223
18705,A-473
16789,A-71
21004,A-27
21255,A-261
19902,A-519
17458,A-160
20453,A-324
11526,A-96
19447,A-11
16089,A-242
18643,A-368
20106,A-104
15272,A-443
21181,A-7
19363,A-421
17492,A-144
12201,A-150
20571,A-27
19581,A-373
291222,A-290
292374,A-1
20991,A-27
16107,A-289
12045,A-111
11671,A-540
20332,A-261
17326,A-518
19788,A-265
18874,A-518
20059,A-277
292676,A-275
20894,A-71
295613,A-289
20214,A-261
287780,A-301
15894,A-27
21411,A-99
28040,A-88
20296,A-137
15649,A-445
16255,A-517
10215,A-374
20486,A-223
21085,A-459
291808,A-6
17311,A-391
21406,A-4
12394,A-66
15976,A-71
19819,A-137
294726,A-517
19467,A-11
18992,A-11
15919,A-381
11189,A-386
12428,A-89
16891,A-395
9628,A-39
15509,A-474
20381,A-315
19244,A-233
12706,A-374
21016,A-88
16687,A-137
17482,A-69
16398,A-79
16965,A-180
21215,A-450
291245,A-280
16046,A-474
15494,A-473
16745,A-97
21153,A-336
12213,A-52
21216,A-450
16129,A-130
12991,A-223
15886,A-247
19607,A-356
20754,A-146
17353,A-36
17836,A-307
12202,A-150
18961,A-349
20452,A-41
15480,A-462
291146,A-233
21020,A-112
20749,A-49
21052,A-179
15497,A-4
296177,A-130
15567,A-450
20970,A-7
19905,A-519
295969,A-517
292601,A-473
18990,A-11
21256,A-261
294878,A-130
19270,A-380
15742,A-265
19933,A-210
174,A-535
21274,A-270
10046,A-324
14081,A-105
10888,A-378
21225,A-449
20344,A-36
297541,A-280
18031,A-27
12959,A-346
297756,A-280
19839,A-150
26574,A-109
292555,A-473
20386,A-315
11967,A-485
20570,A-112
18006,A-244
17237,A-236
296365,A-445
15450,A-270
17906,A-425
10476,A-52
288199,A-9
292528,A-11
12666,A-346
20293,A-137
297548,A-280
19107,A-228
297547,A-280
9837,A-56
15948,A-517
15217,A-22
17046,A-444
11525,A-96
21494,A-277
12313,A-35
19986,A-177
20223,A-199
19478,A-223
17874,A-265
21147,A-150
297543,A-280
16284,A-9
297932,A-474
20414,A-261
20630,A-518
15680,A-474
17206,A-71
21639,A-4
20768,A-247
20334,A-261
21555,A-100
20716,A-172
20350,A-36
21592,A-110
17359,A-6
15700,A-112
20333,A-261
20060,A-277
18211,A-87
16984,A-36
20651,A-36
20245,A-261
17077,A-178
9717,A-216
297931,A-280
13083,A-150
20851,A-71
17397,A-36
18342,A-119
15481,A-277
15861,A-45
20425,A-265
17104,A-36
19842,A-261
15273,A-495
20433,A-1
291143,A-280
21021,A-88
21405,A-4
17062,A-91
19378,A-517
15368,A-178
16967,A-31
20480,A-119
18972,A-177
18357,A-119
17106,A-36
19985,A-177
21155,A-143
21367,A-11
17097,A-229
292562,A-228
20430,A-1
12138,A-540
17103,A-79
10237,A-396
11670,A-233
15500,A-277
20497,A-67
13417,A-107
17342,A-41
297546,A-280
19795,A-265
19175,A-155
19392,A-517
20784,A-41
18996,A-11
15953,A-228
20580,A-354
16797,A-146
15442,A-189
20578,A-4
20362,A-146
18163,A-87
10423,A-52
12713,A-449
10629,A-4
15521,A-4
19813,A-137
296347,A-199
17282,A-278
17479,A-40
11998,A-4
20487,A-119
15934,A-280
17059,A-91
17856,A-41
14260,A-473
15914,A-266
12969,A-103
20424,A-265
12703,A-374
19431,A-184
16790,A-23
20595,A-354
20620,A-55
14245,A-473
16979,A-247
21368,A-11
21024,A-112
295615,A-289
10881,A-144
10773,A-374
20788,A-513
18156,A-257
17027,A-71
287965,A-346
20404,A-1
294432,A-11
17234,A-399
20556,A-27
296346,A-199
16665,A-247
20352,A-36
17903,A-268
21106,A-144
16247,A-425
7021,A-59
18634,A-23
20873,A-186
292567,A-473
19818,A-137
287777,A-301
17972,A-380
20037,A-137
12014,A-466
12859,A-423
21012,A-432
15328,A-462
17497,A-491
294725,A-517
19621,A-356
17226,A-12
17134,A-222
20361,A-146
295638,A-289
19087,A-11
16062,A-419
20795,A-247
17635,A-244
18024,A-244
16248,A-96
11830,A-280
9830,A-56
291708,A-247
15395,A-266
17314,A-79
17420,A-358
15466,A-41
20427,A-265
15737,A-45
15546,A-41
16053,A-445
9967,A-233
295632,A-289
18099,A-399
15704,A-45
21125,A-261
12575,A-450
21364,A-11
19155,A-104
19654,A-155
19426,A-155
21242,A-450
17005,A-29
21224,A-449
21154,A-336
21434,A-244
20882,A-144
16267,A-41
21659,A-266
20283,A-277
16222,A-110
11938,A-26
10367,A-245
295612,A-289
16001,A-376
291793,A-284
16266,A-41
16606,A-91
10198,A-474
291238,A-280
20997,A-137
21495,A-160
17288,A-223
21642,A-4
20294,A-137
20482,A-223
16156,A-432
17185,A-473
20432,A-1
17639,A-229
18030,A-27
21460,A-99
15322,A-112
17485,A-425
13629,A-37
291713,A-247
15278,A-186
294738,A-9
10034,A-144
19457,A-11
19803,A-223
16994,A-197
7453,A-23
20426,A-265
297542,A-280
10144,A-374
21351,A-358
20044,A-244
16505,A-132
21493,A-277
12705,A-374
28044,A-88
16050,A-244
20213,A-261
15773,A-45
20605,A-46
291759,A-6
20415,A-391
12597,A-104
17415,A-233
16093,A-172
19154,A-104
16298,A-374
11034,A-4
20693,A-341
21344,A-238
10628,A-4
19657,A-6
16599,A-354
17971,A-257
16825,A-11
17053,A-266
18347,A-46
17358,A-228
20413,A-261
16826,A-40
20496,A-67
17640,A-324
294727,A-9
20778,A-172
16099,A-110
10814,A-501
11887,A-96
18004,A-265
20110,A-4
20458,A-336
10745,A-305
20483,A-223
16362,A-288
18212,A-473
15293,A-369
297936,A-474
16075,A-99
17585,A-380
16331,A-202
21126,A-261
10365,A-245
21489,A-238
16005,A-71
17626,A-150
20755,A-146
15349,A-144
20767,A-247
15568,A-369
16006,A-71
20154,A-99
15549,A-1
21158,A-247
20459,A-336
16084,A-473
20484,A-223
16436,A-373
15656,A-185
15397,A-356
21365,A-11
17102,A-301
15464,A-1
10776,A-290
18867,A-178
16330,A-110
298820,A-155
16941,A-110
21412,A-435
16341,A-230
17129,A-172
20724,A-172
17473,A-261
15702,A-144
17444,A-97
20065,A-71
19811,A-517
17863,A-352
19073,A-182
10481,A-1
11880,A-96
17308,A-420
17318,A-36
17396,A-199
16862,A-223
291144,A-280
17065,A-143
12714,A-449
17280,A-474
20289,A-196
19962,A-88
10529,A-324
10815,A-540
16820,A-233
17041,A-399
11740,A-30
17815,A-146
16810,A-40
19620,A-356
7041,A-306
16245,A-399
19218,A-334
11665,A-233
20395,A-391
17613,A-87
21217,A-450
17537,A-4
20431,A-1
19650,A-155
26572,A-268
11527,A-96
17510,A-286
9941,A-25
17445,A-244
